algorithm,scenario,size,time_s
Bubble Sort,sorted,100,1.15e-05
Insertion Sort,sorted,100,1.595e-05
Selection Sort,sorted,100,0.0003054
Merge Sort,sorted,100,0.0001852
Quick Sort,sorted,100,0.0001174
Heap Sort,sorted,100,0.00023705
Shell Sort,sorted,100,4.305e-05
Tim Sort,sorted,100,2.7e-06
Bubble Sort,sorted,500,4.4e-05
Insertion Sort,sorted,500,6.63e-05
Selection Sort,sorted,500,0.00648645
Merge Sort,sorted,500,0.0010052
Quick Sort,sorted,500,0.0005801
Heap Sort,sorted,500,0.0021319
Shell Sort,sorted,500,0.00046245
Tim Sort,sorted,500,6.85e-06
Bubble Sort,sorted,1000,0.00018375
Insertion Sort,sorted,1000,0.00014815
Selection Sort,sorted,1000,0.0257467
Merge Sort,sorted,1000,0.00249365
Quick Sort,sorted,1000,0.0018095
Heap Sort,sorted,1000,0.0048997
Shell Sort,sorted,1000,0.00106405
Tim Sort,sorted,1000,1.675e-05
Bubble Sort,sorted,2000,0.0002949
Insertion Sort,sorted,2000,0.0003564
Selection Sort,sorted,2000,0.105167
Merge Sort,sorted,2000,0.0048169
Quick Sort,sorted,2000,0.003767
Heap Sort,sorted,2000,0.0117105
Shell Sort,sorted,2000,0.00198135
Tim Sort,sorted,2000,1.955e-05
Bubble Sort,sorted,5000,0.00059335
Insertion Sort,sorted,5000,0.0007518
Selection Sort,sorted,5000,1.0065266
Merge Sort,sorted,5000,0.02366445
Quick Sort,sorted,5000,0.01593215
Heap Sort,sorted,5000,0.0459343
Shell Sort,sorted,5000,0.00914035
Tim Sort,sorted,5000,9.975e-05
Bubble Sort,sorted,10000,
Insertion Sort,sorted,10000,
Selection Sort,sorted,10000,
Merge Sort,sorted,10000,0.0450526
Quick Sort,sorted,10000,0.0235648
Heap Sort,sorted,10000,0.07733605
Shell Sort,sorted,10000,0.0155747
Tim Sort,sorted,10000,0.00016665
Bubble Sort,sorted,20000,
Insertion Sort,sorted,20000,
Selection Sort,sorted,20000,
Merge Sort,sorted,20000,0.08442195
Quick Sort,sorted,20000,0.0467758
Heap Sort,sorted,20000,0.1317341
Shell Sort,sorted,20000,0.02926695
Tim Sort,sorted,20000,0.0002335
